time_counter,budget_bacour,budget_optsif,budget_optgpp,budget_opt,budget_bacouropt,years,fluxcom,fluxsat
2001,3.97515338809344,2.8493921910784,2.890188427973974,2.782184505780907,2.6380082382984535,2001,2.872913124762059,2.6557000712192003
2002,3.73005983154176,2.4931420357700267,2.5702670270464,2.5479847276270937,2.3803141816320004,2002,2.7226563237736614,2.629291429505707
2003,3.9628111033139204,2.55623077822464,2.68988477079552,2.762446086690134,2.579326762134187,2003,2.8713877690059326,2.722969758815574
2004,3.739946263947947,2.3950878240494937,2.5508123386402137,2.6652213789764265,2.503857717029547,2004,2.711535723718116,2.6199954222830937
2005,4.070824211032747,2.5930874451831465,2.801375110321494,2.9348456475306666,2.7759794279765337,2005,2.9276306991438887,2.7735261271381337
2006,3.973909004506454,2.5832892958856535,2.8263893381939202,2.9566344800938666,2.8057571164160002,2006,2.8401460175783857,2.7507072399223467
2007,3.9990847445401605,2.59058005180416,2.8303309493589337,2.933806662505814,2.7855270165435737,2007,2.8305732594460267,2.7539436068317866
2008,3.9737125363165866,2.5500272313412267,2.7854032670993067,2.8921625505518938,2.736480136287574,2008,2.8277214843764735,2.7447759418163202
2009,3.9952398365491204,2.533869891529387,2.771437440641707,2.89328981868544,2.7336486979720536,2009,2.8570109074168872,2.7431577583616003
2010,4.197587273209174,2.6700547516006403,2.934033238807894,3.0801203508019204,2.9084964565811204,2010,2.9544736272081225,2.8276467346090666
2011,4.134988680615254,2.6683661457817602,2.96769181188096,3.1219744540808536,2.9539017861802668,2011,2.931682177361904,2.8156787600042668
2012,4.147609593009494,2.69453035044864,3.0064685088768,3.15811924279296,2.99077350719488,2012,2.945517519139505,2.85130737319936
2013,4.00860860383232,2.6246874398720004,2.9558856045909336,3.0810559986619737,2.929030444264107,2013,2.951284295089521,2.8511522398754137
2014,4.0742603631274665,2.6180649309525337,2.935558291237547,3.049030918253227,2.8972166309478404,2014,2.9052884435525965,2.834271795063467
2015,4.2377652731904005,2.755417883716267,3.0751216387140268,3.2025741256294404,3.0375857531562667,2015,2.9879243138704337,2.8684503709559466
2016,4.314873169182721,2.8664629803963737,3.2071531102208004,3.3312949805602137,3.1795299378790403,2016,3.0405435320508087,2.9548808101341866
2017,4.1262917737949865,2.7296478911965867,3.0233382372420268,3.1222056231458137,2.9841828924620803,2017,2.9305070767256374,2.853979085428054
2018,3.989495310800214,2.6350762695065604,2.944805053835947,3.0272586706670936,2.8960549170926937,2018,2.923107011417604,2.8443000928119466
2019,4.144754170265601,2.66101389787136,2.9680577019904004,3.07221161312256,2.9188110365491204,2019,2.891586431518507,2.8687170063564804
2020,4.220494443533654,2.7526101746756266,3.0820069557316265,3.202438894277974,3.0453480327304536,2020,2.9817488187662007,2.9243904779878402
